date,StockID,close,变动日,信用等级
2020-01-02 14:43:00,SZ128037,96.932,20240202,AA
2020-01-02 14:43:00,SZ128039,115.147,20230627,A+
2020-01-02 14:43:00,SZ128040,109.842,20220627,AA
2020-01-02 14:43:00,SZ128041,136.999,20240614,A+
2020-01-02 14:43:00,SZ128042,104.0,20240613,AA-
2020-01-02 14:43:00,SZ128043,228.055,20200622,AA
2020-01-02 14:43:00,SZ128044,103.673,20240822,C
2020-01-02 14:43:00,SZ128045,118.698,20200529,AAA
2020-01-02 14:43:00,SZ128046,114.32,20220425,AA
2020-01-02 14:43:00,SZ128048,118.67,20240611,AA+
2020-01-02 14:43:00,SZ128049,107.889,20240527,AA-
2020-01-02 14:43:00,SZ128050,100.102,20210510,AA-
2020-01-02 14:43:00,SZ128051,113.658,20210625,AA-
2020-01-02 14:43:00,SZ128052,176.999,20200721,AA
2020-01-02 14:43:00,SZ128053,107.7,20240620,AA
2020-01-02 14:43:00,SZ128054,125.58,20200605,A+
2020-01-02 14:43:00,SZ128055,122.023,20190423,AA
2020-01-02 14:43:00,SZ128056,101.8,20240625,A+
2020-01-02 14:43:00,SZ128057,120.068,20210513,AA-
2020-01-02 14:43:00,SZ128058,121.0,20200527,AA
2020-01-02 14:43:00,SZ128059,127.0,20200624,AA
2020-01-02 14:43:00,SZ128062,89.593,20240529,CCC
2020-01-02 14:43:00,SZ128063,110.322,20240619,AA-
2020-01-02 14:43:00,SZ128064,101.8,20210628,AA
2020-01-02 14:43:00,SZ128065,111.184,20200529,AA
2020-01-02 14:43:00,SZ128066,114.79,20240621,AA-
2020-01-02 14:43:00,SZ128067,115.112,20200603,AA
2020-01-02 14:43:00,SZ128069,107.31,20220617,AA-
2020-01-02 14:43:00,SZ128070,106.03,20250623,A+
2020-01-02 14:43:00,SZ128071,112.2,20250623,AA
2020-01-02 14:43:00,SZ128072,111.999,20250126,A-
2020-01-02 14:43:00,SZ128073,108.803,20220617,AA-
2020-01-02 14:43:00,SZ128074,145.989,20250623,AA-
2020-01-02 14:43:00,SZ128075,119.461,20230619,AA
